id,name,time,difficulty,notes,description,cuisine_tags,dietary_tags,imageRef,url,method
11,Middle Eastern lamb koftas with aromatic lentil rice,40,Intermediate,,"The intoxicating smell of the spiced lamb mince cooking never fails to conjure up illusions of the Middle East, where street vendors serve koftas straight off the grill.","Lamb Mince, Family Dinner",0000,static/images/recipe_images/11_middle_eastern_lamb_koftas_with_aromatic_lentil_rice.jpeg,https://www.taste.com.au/recipes/middle-eastern-lamb-koftas-aromatic-lentil-rice/ec4bc97d-3869-45b5-b129-226126cfa4c1?r=recipes/quickmincerecipes&c=fmvjd6zx/Quick%20mince%20recipes,"Make Spice Mix: Place all ingredients in a bowl. Stir to combine.| Place mince, onion, breadcrumbs, cinnamon, garlic, coriander and 1 1/2 tablespoons of the Spice Mix in a bowl. Using your hands, mix well to combine. Shape heaped tablespoons of mixture into ovals to make 16 koftas.| Place lentils, rice, stock and remaining Spice Mix in a large saucepan over medium-high heat. Cover. Bring to a simmer. Reduce heat to low. Cook for 12 minutes or until rice is tender and liquid is absorbed. Remove from heat.|  Meanwhile, heat oil in a large frying pan over medium-high heat. Add koftas. Cook, shaking pan so koftas brown all over, for 10 minutes or until cooked through.| Place koftas on rice. Drizzle with yoghurt. Sprinkle with extra coriander leaves. Serve with tomato wedges."
12,Salmon and soba noodle bowl,60,Easy,,"With teriyaki and lime flavours, this salmon and noodle dish uses crispy cabbage and creamy avocado for a hearty dinner the whole family will enjoy.",Asian,0000,static/images/recipe_images/12_salmon_soba_noodle_bowl.jpg,https://www.taste.com.au/recipes/salmon-soba-noodle-bowl-recipe/gqa6c1nb?r=quickeasy&h=Quick%20%20easy,"Cook the noodles in a large saucepan of boiling water following packet directions. Refresh under cold water. Drain well.| Meanwhile, combine the teriyaki marinade, lime juice, oil and ¼ cup (60ml) water in a small jug. Place the noodles in a bowl with three-quarters of the spring onion and 1½ tbs of the sesame seeds. Add ⅔ cup (160ml) of the dressing and gently toss to combine. Season.|  Spray the salmon with olive oil spray. Season. Heat a large frying pan over medium heat. Cook the salmon for 2-3 mins each side for medium or until cooked to your liking.| Divide the noodle mixture among serving bowls. Arrange the radish, cucumber, avocado, carrot and cabbage over the noodle mixture. Top with salmon. Drizzle with the remaining dressing. Sprinkle with the remaining spring onion and sesame seeds."
13,Crispy Korean fried tofu with snow peas,40,Easy,,"Ready in 40 minutes, this Asian vegetarian stir-fry makes for great midweek dinner.",Tofu,0001,static/images/recipe_images/13_crispy_korean_fried_tofu_with_snow_peas.jpg,https://www.taste.com.au/recipes/crispy-korean-fried-tofu-snow-peas-recipe/hlh22gjy?r=recipes/,"Place tofu on a plate lined with 2 layers of paper towel. Top with 2 more layers of paper towel. Top with a plate. Stand for 10 minutes to absorb any excess liquid.| Meanwhile, place sauces, vinegar, honey, gochujang paste, ginger and garlic in a bowl. Mix well.| Place rice flour in a bowl. Cut tofu into 4cm pieces. Pour enough oil into a saucepan until 1⁄3 full. Heat over medium-high heat. Toss 1⁄3 of tofu pieces in flour to coat. Deep-fry for 2 to 3 minutes or until golden. Using a slotted spoon, transfer tofu to a plate lined with paper towel to drain. Repeat, in 2 more batches, with remaining tofu and flour.| Heat a wok over medium heat. Add sauce mixture. Cook for 4 minutes or until simmering. Add snow peas, corn and half the chives. Stir-fry for 1 minute. Add tofu. Stir-fry, tossing gently, for 2 minutes or until tofu mixture is heated through.| Serve tofu mixture on steamed rice, topped with sesame seeds, coriander leaves and remaining chives."
14,17-minute turmeric chilli fried egg bowl,17,Easy,,"This healthy vegetarian bowl has kale, chickpeas, egg and Greek yoghurt for a protein-packed weeknight dinner.",Egg,0001,14_17_minute_turmeric_chilli_fried_egg_bowl.jpg,https://www.taste.com.au/recipes/17-minute-turmeric-chilli-fried-egg-bowl-recipe/osd3r7zn?r=recipes/,"Heat 1 tbs of oil in a deep frying pan over medium-high heat. Add garlic. Cook, stirring, for 30 seconds or until golden and aromatic. Add kale mix and cook, covered, for 2 minutes or until wilted. Add chickpeas and cook, uncovered, for 1 minute. Remove from heat and stir in lemon rind and 1 tbs juice. Season. Transfer to a bowl and set aside.| Heat 1 tbs of remaining oil in same pan over medium-high heat. Add turmeric and chilli. Cook, stirring, for 30 seconds or until aromatic. Crack eggs into pan. Cook for 2-3 minutes for soft yolks and crispy whites. Remove from heat. Add 1 tbs remaining lemon juice, drizzling around eggs. Swirl to combine.| Combine the tomato, onion, dill, remaining oil and remaining juice in a bowl. Season. Divide kale mixture among serving bowls. Top with egg and salsa. Dollop with yoghurt and drizzle with any pan juices."
15,Mexican-style omelette wrap,20,Intermediate,,"Zingy with a bit of a kick, this silky omelette will really get you going in the morning. Plus it’s packed with good stuff: tomatoes are a source of Vitamin C, which we need to keep our teeth and gums healthy. Delicious!","Egg, Mexican",0101,static/images/recipe_images/15_mexican_style_omlet_wrap,https://www.jamieoliver.com/recipes/egg-recipes/mexican-style-omelette-wrap/,"Measure the TabascoThis easy vegan pasta salad with creamy avocado dressing is perfect for entertaining or midweek meals, and will easily win over the meat-eaters. into a jam jar, then squeeze in the juice of 1 lime and add a good pinch of black pepper.| Put the lid securely on the jar and shake well. Cut the remaining lime into wedges, and put aside.| On a chopping board, trim and finely slice the spring onions, and pick and roughly chop the coriander leaves, then scrape into a large bowl, reserving a little coriander for later.| Add the red wine vinegar and a pinch of sea salt, then mix together well.| Roughly chop the tomatoes and spinach then add to the bowl and mix again.| Crack the eggs into a bowl or jug, add a splash of water, season lightly with salt and pepper, then whisk with a fork until well combined.| Heat 1 tablespoon of olive oil in a 26cm non-stick frying pan over a medium heat, pour a quarter of the egg into the frying pan, swirling and tilting so that it covers the whole base of the pan.| Cook for 1 to 2 minutes, or until the omelette is just set – when the omelette is nearly ready, finely grate and scatter over a quarter of the cheese.| Slide the omelette onto a serving plate, spoon a quarter of the salad down the middle, then roll it up.| Spoon over some of the chipotle dressing and garnish with the reserved coriander leaves, then serve immediately with lime wedges for squeezing over. Repeat with the remaining mixture, serving as and when ready."
16,Vegan pasta salad with green goddess dressing,65,Easy,,"This easy vegan pasta salad with creamy avocado dressing is perfect for entertaining or midweek meals, and will easily win over the meat-eaters.",Pasta,0011,static/images/recipe_images/16_vegan_pasta_salad_with_green_goddess_dressing.jpg,https://www.taste.com.au/recipes/vegan-pasta-salad-green-goddess-dressing/bmdvxf2w?r=recipes/,"Preheat the oven to 200C/180C fan forced and line 2 baking trays with baking paper. Arrange the pumpkin and zucchini on 1 prepared tray and the tomatoes on the other prepared tray. Spray with olive oil. Roast the pumpkin and zucchini for 15 minutes. Add the tomatoes to the oven and roast for 30 minutes or until the vegies are tender and lightly browned.| Meanwhile, cook the pasta in a large saucepan of boiling salted water following packet directions or until al dente. Drain and rinse well under cold running water. Drain well.| To make the dressing, combine all the ingredients in a small food processor and process until smooth. Season.| Toss pasta with the dressing, then fold through the pumpkin, zucchini, tomato, and onion. Sprinkle with pine nuts and scatter with rocket leaves."
17,Speedy shepherd's pie,25,Easy,,"Ready in 25 minutes with only 5 ingredients, this quick and easy Shepherd's pie makes weeknight cooking a breeze.",Mince,0000,static/images/recipe_images/17_speedy_shepherds_pie,https://www.taste.com.au/recipes/speedy-shepherds-pie-recipe/9czr00f2?r=recipes/,"Spray a large ovenproof frying pan with oil. Place over mediumhigh heat. Add Veggie Mix and cook, stirring, for 5 minutes or until softened. Add the mince and cook, stirring and breaking up any lumps with a wooden spoon, for 4 minutes or until browned.| Add stock and bring to the boil. Reduce heat to low and simmer, uncovered, for 10 minutes or until liquid reduces and thickens slightly.| Meanwhile, place the sweet potato in a large microwave-safe bowl. Add 80ml (1/3 cup) water. Cover with 2 layers of plastic wrap and cook on High for 7-8 minutes or until soft. Drain.| Preheat grill on high. Mash sweet potato until smooth. Add two-thirds of goat’s cheese and mix well. Season. Spread the mash over the mince mixture. Crumble over the remaining goat’s cheese and lightly mix in with a fork. Sprinkle with pepper and spray with oil. Place under grill for 4-5 minutes or until bubbling and golden. Serve."
18,Japanese-style shredded chicken salad,17,Easy,,"White miso adds a mild, sweet flavour to this speedy chicken and shredded cabbage salad.","Japanese, Chicken, Salad",0000,static/images/recipe_images/18_japanese_style_shredded_chicken_salad.jpg,https://www.taste.com.au/recipes/japanese-style-shredded-chicken-salad-recipe/ahhqdao6?r=recipes/,"Combine chicken, wombok, radish, zucchini, apple, red cabbage and nori in a bowl. Whisk together miso, mirin, soy and sesame oil in a small bowl.| Drizzle over salad and toss well to combine. Divide among bowls and sprinkle with sesame seeds."
19,Karaage chicken (Fried chicken),30,Intermediate,,"For supreme-flavoured bites, you can't beat crispy fried chicken marinated in soy and ginger.","Asian, Japanese",0000,static/images/recipe_images/18_japanese_style_shredded_chicken_salad.jpg,https://www.taste.com.au/recipes/karaage-chicken-fried-chicken/76c5ba9f-c57a-440a-ba1d-aa87e09a6f42?r=recipes/japaneserecipes&c=1f575979-1bea-40b5-940d-1fc871f629f7/Japanese%20recipes,"Combine the soy sauce, sushi seasoning and ginger in a glass or ceramic dish. Add the chicken and toss to coat. Cover with plastic wrap and place in the fridge for 1 hour to marinate.| Drain the chicken from the marinade and pat dry. Add oil to a large saucepan to reach a depth of 5cm. Heat to 170°C over medium-high heat (when the oil is ready, a cube of bread turns golden in 20 seconds). Place combined flour on a plate. Add one-third of the chicken and toss to coat. Shake off any excess. Cook, turning halfway through cooking, for 4-5 minutes or until cooked through. Use tongs to transfer to a plate lined with paper towel. Repeat, in 2 more batches, with the remaining chicken and flour mixture, reheating the oil between batches. Transfer to a serving platter."
20,Simple crepe recipe,25,Intermediate,,"This easy pancake recipe from taste member, 'Sweet_Junkie' contains no sugar so is suitable for both sweet and savoury toppings.","French, Breakfast",0001,static/images/recipe_images/20_simple_crepe_recipe.jpg,https://www.taste.com.au/recipes/simple-crepe-recipe/47c5070a-8d18-4dca-b5fa-29c45389a2cb?r=recipes/,"Combine all ingredients in a bowl. Blend until smooth. Add a little water and mix to desired consistency. Cover and set aside to rest for 5 minutes.| Heat a medium non-stick frying pan over medium heat. Spray with cooking oil. Using 1/4 cup mixture per pancake, pour batter over pan, tilting from side to side so batter covers base in a thin film. Cook pancake for about 1 minute or until underside is golden, then use a spatula to flip. Cook other side for just under a minute until golden. Repeat with remaining mixture, spraying pan with cooking oil between pancakes."
